Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,IDMBTB0978JS5W003,0978 DB26  JEANS-003,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,003,,,0,,,
,IDMBTB0978JS5W004,0978 DB26  JEANS-004,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,004,,,0,,,
,IDMBTB0978JS5W005,0978 DB26  JEANS-005,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,005,,,0,,,
,IDMBTB0978JS5W006,0978 DB26  JEANS-006,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,006,,,0,,,
,IDMBTB0978JS5W008,0978 DB26  JEANS-008,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,008,,,0,,,
,IDMBTB0978JS5W009,0978 DB26  JEANS-009,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,009,,,0,,,
,IDMBTB0978JS5W010,0978 DB26  JEANS-010,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,010,,,0,,,
,IDMBTB0978JS5W012,0978 DB26  JEANS-012,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,012,,,0,,,
,IDMBTB0980JS5W003,0980 DB28  JEANS-003,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,003,,,0,,,
,IDMBTB0980JS5W004,0980 DB28  JEANS-004,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,004,,,0,,,
,IDMBTB0980JS5W005,0980 DB28  JEANS-005,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,005,,,0,,,
,IDMBTB0980JS5W006,0980 DB28  JEANS-006,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,006,,,0,,,
,IDMBTB0980JS5W008,0980 DB28  JEANS-008,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,008,,,0,,,
,IDMBTB0980JS5W009,0980 DB28  JEANS-009,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,009,,,0,,,
,IDMBTB0980JS5W010,0980 DB28  JEANS-010,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,010,,,0,,,
,IDMBTB0980JS5W012,0980 DB28  JEANS-012,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,012,,,0,,,
,IDMBTB0982JS5W003,0982 DB11  JEANS-003,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,003,,,0,,,
,IDMBTB0982JS5W004,0982 DB11  JEANS-004,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,004,,,0,,,
,IDMBTB0982JS5W005,0982 DB11  JEANS-005,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,005,,,0,,,
,IDMBTB0982JS5W006,0982 DB11  JEANS-006,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,006,,,0,,,
,IDMBTB0982JS5W008,0982 DB11  JEANS-008,DENIM BOTTOM,,,0,Y,N,DENIM,PC,,,008,,,0,,,
