Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,,PHILIPS HTS3532BL/94,Philips,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS HTS3533/94,Philips,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS HTS3564/94,Philips,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SAMSUNG DVDP192,Samsung,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SAMSUNG HT-E450K/XL,Samsung,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SAMSUNG HTTZ312T/XTL,Samsung,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY BDV-E290//M E12,Sony,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY BDVE490//M E12,Sony,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY DAV-DZ340K/CE12,Sony,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY DAV-DZ640K/CE12,Sony,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY DAVTZ145//CE 12,Sony,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY DAVTZ215//CE12,Sony,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY HT-CT350//M1SP1,Sony,HOME THEATER,HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY MHCGZR5D,Sony,HOME THEATER,HOME THEATER,0,Y,N,CE,,,,,,,
,,SONY MHCGZR888D,Sony,HOME THEATER,HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS AZ1037F/1,Obsolele Product,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS AZ2150HIFI,Obsolele Product,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS AZ2155HIFI,Obsolele Product,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS FW808P,Obsolele Product,HOME THEATER,HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS MCV320,Obsolele Product,HOME THEATER (DAV),HOME THEATER,0,Y,N,CE,,,,,,,
,,PHILIPS DL167RADIO,Philips,RADIO,RADIO,0,Y,N,CE,,,,,,,
,,PHILIPS DL258,Obsolele Product,PMC,PMC,0,Y,N,CE,,,,,,,
,,PHILIPS RM210,Obsolele Product,PMC,PMC,0,Y,N,CE,,,,,,,
,,PHILIPS RR 571RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR200PRADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR400RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR485RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR494RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR498RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR582RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR584RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS RR665RADIO,Obsolele Product,SRR,SRR,0,Y,N,CE,,,,,,,
,,PHILIPS V230RADIO,Obsolele Product,PMC,PMC,0,Y,N,CE,,,,,,,
,,SONY ICF-C218/BC SP5,Sony,RADIO,RADIO,0,Y,N,CE,,,,,,,
,,SONY ICF-F12S//CE PORT RADIO,Sony,RADIO,RADIO,0,Y,N,CE,,,,,,,
,,SONY MDR-IFI40KMIEI3,Sony,HEADPHONE,HEADPHONE,0,Y,N,CE,,,,,,,
,,KAFF FOREST,KAFF,KITCHEN APPLIANCES,KITCHEN APPLIANCES,0,Y,N,CE,,,,,,,
,,BAJAJ MGGX1-JAN 12,BAJAJ,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,BAJAJ STEAM IRON WM 09,BAJAJ,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,ELECTROLUX MWOKIT-B,Electrolux,Accessories,Accessories,0,Y,N,CE,,,,,,,
,,FRIDOE WARE SET 6 DOC-JAN,FRIDOE,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,GODREJ LA  OPALA 5PC PUDDING SET,Godrej,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,GODREJ LA OPALA 14PC DINNER SET,Godrej,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,GODREJ LA OPPLA 8PC DINNER SET,Godrej,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,GODREJ MWO STARTER KIT(SET OF 3PCS),Godrej,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,GODREJ MWO STARTER KIT(SET OF 4PCS),Godrej,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,GODREJ MWO STARTER KIT(SET OF 5PC),Godrej,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,MAHARAJA JMG,MAHARAJA,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,REEBOK SHOES,REEBOK,GIFT,GIFT,0,Y,N,CE,,,,,,,
,,REEBOK WATCHES,REEBOK,GIFT,GIFT,0,Y,N,CE,,,,,,,
