Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Focus,VAT,Pack Unit
,SF001,Tea Tree F.W 60,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF002,Tea Tree  F.W 100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF003,PealGlow F.W,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF004,ForestHoney F.W,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF005,Jojoba Scrub 60,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF006,Jojoba Scrub100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF007,Jojoba Scrub 400,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF008,Vegfresh Pack 60,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF009,Vegfresh Pack100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF010,Vegfresh Pack 400,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF011,Rose Toner 100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF012,CuCu Lemon 100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF013,Aloe Moist 100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF014,Neem Asist 100,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF015,Spf 30,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF016,Spf 20,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF017,Spf-40,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF018,Sunfree Body Lotion,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF019,Fruit cr. Bleach 25GM,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF020,Fruit cr. Bleach 300GM,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF021,Gold Sh. Blrach 25Gm,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF022,Gold Sh. Blrach300Gm,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF023,Under Eye,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF024,Wheatactv Ms. cream 50Gm,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF025,Wheatactv Ms. cream400Gm,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF026,Quinolive Nu. Cream50Gm,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF027,Quinolive Nu. Cream400Gm,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF028,Rose Day,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF029,Nourshing Shmp-200Ml,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF030,Anti Hairfall Shmp-200Ml,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF031,Anti Dandroof shmp-200Ml,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF032,Nourshing Shmp-450Ml,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF033,Anti Hairfall Shmp-450Ml,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF034,Anti Dandroof shmp-450Ml,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF035,24k Gold kit 40,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF036,24k Gold kit 210,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF037,Oxy Ozone 40,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF038,Oxy Ozone 210,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF039,Anti Acne 40,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF040,Anti Acne 260,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF041,Sunfree 40,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF042,Sunfree 210,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF043,Spa Kit,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF044,Gold Clnr Scrub,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF045,Gold Pack,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF046,Gold Msg,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF047,24k Gold Serum,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF048,Achne Out  Serum,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF049,S7 Platinum Serum,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF050,Ozone Clnr scrub,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF051,Ozone Pack,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF052,Ozone  Msg,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF053,Essential Oil-Tee Tree,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF054,Essential Oil-Peppermint,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF055,Essential Oil-Rosemary,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF056,Essential Oil-Lemongrass,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF057,Essential Oil-Lavender,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF058,Essential Oil-Eucalyptus,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF059,Jojoba Spa oil,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF060,Grapeseed Spa oil,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF061,Pomegrante Body Scrub,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF062,Alov Bath Salt,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF063,Sea Marine Bath Salt,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF064,S7 Platinum cream,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF065,Hair Conditioner,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF066,Sunfree Tan pack,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,SF067,Acne out kit eco,SAFFIRE,,,0,Y,N,,,,,,,,0,,,
,AP001,Lemon T. Msg 100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP002,Lemon T.Msg 200,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP003,Lemon T.Msg 500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP004,Rose Msg Crm.100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP005,Rose Msg crm.200,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP006,Rose  Msg crm.500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP007,Skin Tonic 100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP008,Skin Tonic 500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP009,Skin Tonic 1000,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP010,Cleaning  milk 100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP011,Cleaning milk 500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP012,Cleaning milk 1000,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP013,Moistursing lotion 100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP014,Moistursing lotion  500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP015,Moistursing lotion 1000,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP016,Astringent lotion 100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP017,Astringent lotion 500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP018,Astringent lotion 1000,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP019,Grn Apple F.W,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP020,Skin Food Crm. 50,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP021,Skin Food Crm 500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP022,Anti pigmentation Cream,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP023,Fairness Cream,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP024,Heena Herb mix,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP025,Neem Alovera 100,Aromaplus,,,0,Y,N,,,,,,,,0,,,
,AP026,Neem Alovera 500,Aromaplus,,,0,Y,N,,,,,,,,0,,,
