Depot code,Route,Freight,acedns,date,Transport mode,Capacity,State code
9211,"Coimbatore",10000,Y,01/08/2018,Truck,16,TN
9302KP,"Raigad",4068,Y,30/07/2018,Truck,4.5,MH
4000D,"Kozhikode (Calicut)",45000,Y,27/07/2018,Truck,16,KL
4000D,"PEROOR",0,Y,27/07/2018,Truck,16,KL
4000D,"Kurnool",19900,Y,27/07/2018,Truck,16,AP
4000D,"Raichur",23000,Y,27/07/2018,Truck,16,KA
4000D,"Gulbarga",26235,Y,27/07/2018,Truck,16,KA
4000D,"Mangalore",42000,Y,27/07/2018,Truck,16,KA
4000D,"Gadag",29601,Y,27/07/2018,Truck,16,KA
4000D,"KAVALA BAIRASANDRA(Bangalore)",24696,Y,27/07/2018,Truck,16,KA
4000D,"Pondichery",23000,Y,27/07/2018,Truck,16,PY
4000D,"Yellandu",22770,Y,27/07/2018,Truck,10,TG
4000D,"Trichy",27342,Y,27/07/2018,Truck,16,TN
9201,"Shimoga",0,Y,27/07/2018,Truck,7.5,KA
4000D,"Guntakal",19950,Y,27/07/2018,Truck,16,AP
4000D,"Ranibennur",0,Y,27/07/2018,Truck,16,KA
9201,"HOSUR",0,Y,27/07/2018,Truck,7.5,TN
4000D,"Siliguri 1",113000,Y,27/07/2018,Truck,21,WB
4000D,"MANDAPETA",19453,Y,27/07/2018,Truck,10,AP
4000D,"Begumbazar",23940,Y,27/07/2018,Truck,16,TG
4000D,"Yadgir",25245,Y,27/07/2018,Truck,16,KA
4000D,"Vijayawada",12375,Y,27/07/2018,Truck,10,AP
4000D,"Chilakaluripeta",11000,Y,27/07/2018,Truck,10,AP
4000D,"Uppal",21500,Y,27/07/2018,Truck,16,TG
4000D,"Bidar",30195,Y,27/07/2018,Truck,16,KA
4000D,"Guntur",11000,Y,27/07/2018,Truck,10,AP
9110,"Habra",3200,Y,27/07/2018,Truck,3,WB
4000D,"(yeswanthpura)Bangalore",23500,Y,27/07/2018,Truck,16,KA
4000D,"KOTTAPURAM",0,Y,27/07/2018,Truck,16,KL
9110,"Howrah",1625,Y,27/07/2018,Truck,3,WB
1000D,"Patna",34000,Y,27/07/2018,Truck,16,BR
4000D,"Rudrapur",0,Y,27/07/2018,Truck,27,UK
4000D,"Nagpur",47450,Y,27/07/2018,Truck,21,MH
4000D,"ERNAKULAM(Cochin)",0,Y,27/07/2018,Truck,16,KL
4000D,"Bijapur",30450,Y,27/07/2018,Truck,16,KA
4000D,"Mysore",27200,Y,27/07/2018,Truck,16,KA
4000D,"Belgaum",35145,Y,27/07/2018,Truck,16,KA
4000D,"Khurdha",58320,Y,27/07/2018,Truck,21,OR
4000D,"Shimoga",34650,Y,27/07/2018,Truck,16,KA
4000D,"Dhulagarh",85000,Y,27/07/2018,Truck,21,WB
4000D,"GOREGAON(Mumbai)",48510,Y,27/07/2018,Truck,16,MH
4000D,"Tondierpet",18105,Y,27/07/2018,Truck,16,TN
4000D,"Erode(Perundurai Taluk)",27720,Y,27/07/2018,Truck,16,TN
4000D,"Arkot",26000,Y,27/07/2018,Truck,10,TN
4000D,"Goruguntapalya(Bangalore)",24255,Y,27/07/2018,Truck,16,KA
9110,"Salar",6500,Y,27/07/2018,Truck,3,WB
4000D,"Cuttack",59400,Y,27/07/2018,Truck,21,OR
4000D,"Thrissur",45500,Y,27/07/2018,Truck,16,KL
4000D,"Siliguri 2",113000,Y,27/07/2018,Truck,21,WB
4000D,"Kothur",0,Y,27/07/2018,Truck,20,TG
9110,"Baidyabati",2500,Y,27/07/2018,Truck,3,WB
4000D,"Bahadurpura",21840,Y,27/07/2018,Truck,16,TG
4000D,"Mettupalayam",35280,Y,27/07/2018,Truck,16,TN
4000D,"Madurai",33066,Y,27/07/2018,Truck,16,TN
4000D,"RajaiNagar(Bangalore)",25000,Y,27/07/2018,Truck,16,KA
4000D,"Jagityal",28080,Y,27/07/2018,Truck,16,TG
4000D,"Anantapur",15840,Y,27/07/2018,Truck,10,AP
4000D,"MEDCHAL",25290,Y,27/07/2018,Truck,16,TG
4000D,"Rajpur(Kolkata)",72900,Y,27/07/2018,Truck,16,WB
4000D,"Vellore",16632,Y,27/07/2018,Truck,16,TN
4000D,"Salem",26852,Y,27/07/2018,Truck,16,TN
4000D,"Aroor",0,Y,27/07/2018,Truck,16,KL
4000D,"Ulberia",85000,Y,27/07/2018,Truck,21,WB
4000D,"Hubli",29200,Y,27/07/2018,Truck,16,KA
4000D,"Nagawara(Bangalore)",24745,Y,27/07/2018,Truck,16,KA
4000D,"Malakpet(Hyderabad)",21000,Y,27/07/2018,Truck,16,TG
9201,"Davanagere",0,Y,27/07/2018,Truck,7.5,KA
4000D,"Bellary",22770,Y,27/07/2018,Truck,16,KA
4000D,"Proddatur",14940,Y,27/07/2018,Truck,16,AP
4000D,"Jabalpur",63270,Y,27/07/2018,Truck,21,MP
4000D,"Coimbatore",31320,Y,27/07/2018,Truck,16,TN
4000D,"Kurla",47520,Y,27/07/2018,Truck,16,MH
4000D,"Kattedan",22000,Y,27/07/2018,Truck,16,TG
4000D,"Tirupati",13000,Y,27/07/2018,Truck,16,AP
4000D,"Palakkad",38955,Y,27/07/2018,Truck,16,KL
4000D,"Thoothukudi",17127,Y,27/07/2018,Truck,16,TN
9110,"Boral",2265,Y,27/07/2018,Truck,3,WB
4000D,"Berhampur",51480,Y,27/07/2018,Truck,21,OR
9110,"Canning",4383,Y,26/07/2018,Truck,5.5,WB
9110,"Haringhata",10875,Y,26/07/2018,Truck,7.5,WB
9110,"Hooghly",2760,Y,26/07/2018,Truck,4.5,WB
9110,"Chanditala",4597,Y,26/07/2018,Truck,4.5,WB
9110,"North Bawali",3825,Y,26/07/2018,Truck,4.5,WB
9409,"Karnal",2100,Y,26/07/2018,Truck,4.5,HR
9417,"West Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9417,"Bhawana",2250,Y,26/07/2018,Truck,4.5,DL
9417,"East Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9110,"Howrah",4500,Y,26/07/2018,Truck,4.5,WB
9108,"Bongaigaon",2865,Y,26/07/2018,Truck,2.8,AS
9405,"Amroha",3500,Y,26/07/2018,Truck,2.8,UPW
9110,"24 Pgs (South)",3600,Y,26/07/2018,Truck,4.5,WB
9110,"Beldanga",6254,Y,26/07/2018,Truck,5.5,WB
9116,"Aizawl",37344,Y,26/07/2018,Truck,20,MZ
9405,"Noida",1284,Y,26/07/2018,Truck,2.8,UPW
9417KA,"Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9110,"Naihati",4596,Y,26/07/2018,Truck,4.5,WB
9409KA,"Karnal",2100,Y,26/07/2018,Truck,4.5,HR
9417,"New Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9110,"Aurangabad",10154,Y,26/07/2018,Truck,9,WB
9110,"Murshidabad",5232,Y,26/07/2018,Truck,4.5,WB
9110,"Khargram",5775,Y,26/07/2018,Truck,5.5,WB
9417,"North Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9108,"Agartala",58000,Y,26/07/2018,Truck,20,TR
9411,"Malerkotla",3600,Y,26/07/2018,Truck,4.5,PB
9113,"Bishnupur",3027,Y,26/07/2018,Truck,2.8,WB
9110,"Sainthia",4725,Y,26/07/2018,Truck,4.5,WB
9108,"Guwahati",1482,Y,26/07/2018,Truck,2.8,AS
9108,"Aizawl",59000,Y,26/07/2018,Truck,20,MZ
9110,"Khanakul",4725,Y,26/07/2018,Truck,4.5,WB
9110,"Jangipur",10013,Y,26/07/2018,Truck,9,WB
9116,"Agartala",35552,Y,26/07/2018,Truck,16,TR
9110,"Krishnanagar",4601,Y,26/07/2018,Truck,4.5,WB
9417,"Uttam Nagar",2160,Y,26/07/2018,Truck,4.5,DL
9110,"Bandel",3100,Y,26/07/2018,Truck,4.5,WB
9110,"Batanagar",5047,Y,26/07/2018,Truck,4.5,WB
9417,"Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9417,"South Delhi",1608,Y,26/07/2018,Truck,2.8,DL
9110,"Pandua",4597,Y,26/07/2018,Truck,4.5,WB
9110,"Amtala",5368,Y,26/07/2018,Truck,4.5,WB
