Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9203,400000682,,,897.01,Specialty Fats
9203,400000699,,,1003.46,Specialty Fats
9203,400000719,,,927.95,Specialty Fats
9203,400000747,,,1032.23,Specialty Fats
9203,400000748,,,1025.11,Specialty Fats
9203,400000774,,,1010.38,Specialty Fats
9203,400000753,,,0,Specialty Fats
9203,400000754,,,1252.27,Specialty Fats
9203,400000756,,,1307.1,Specialty Fats
9203,400000778,,,1028.58,Specialty Fats
9203,400000783,,,1091.26,Specialty Fats
9203,400000787,,,994.28,Specialty Fats
9203,400000810,,,1384.72,Specialty Fats
9203,400000821,,,1022.76,Specialty Fats
9203,400000822,,,991.51,Specialty Fats
9203,400000827,,,1011.79,Specialty Fats
9203,400000860,,,953.84,Specialty Fats
9208,400000350,,,991.2,Specialty Fats
9208,400000353,,,975,Specialty Fats
9208,400000355,,,950.77,Specialty Fats
9208,400000347,,,856.21,Specialty Fats
9208,400000348,,,896.56,Specialty Fats
9208,400000349,,,1014.4,Specialty Fats
9208,400000350,,,0,Specialty Fats
9208,400000352,,,973.96,Specialty Fats
9208,400000353,,,0,Specialty Fats
9208,400000354,,,950.77,Specialty Fats
9208,400000355,,,0,Specialty Fats
9208,400000427,,,1016.97,Specialty Fats
9208,400000413,,,0,Specialty Fats
9208,400000414,,,755.95,Specialty Fats
9208,400000528,,,980.28,Specialty Fats
9208,400000598,,,991.68,Specialty Fats
9208,400000621,,,978.59,Specialty Fats
9208,400000631,,,975,Specialty Fats
9208,400000656,,,1012.59,Specialty Fats
9208,400000682,,,904.88,Specialty Fats
9208,400000699,,,1011.33,Specialty Fats
9208,400000719,,,935.82,Specialty Fats
9208,400000747,,,1040.1,Specialty Fats
9208,400000748,,,1032.98,Specialty Fats
9208,400000774,,,1018.25,Specialty Fats
9208,400000753,,,0,Specialty Fats
9208,400000754,,,1262.76,Specialty Fats
9208,400000756,,,1317.59,Specialty Fats
9208,400000759,,,0,Specialty Fats
9208,400000778,,,1036.45,Specialty Fats
9208,400000783,,,1099.13,Specialty Fats
9208,400000787,,,1002.15,Specialty Fats
9208,400000810,,,1395.21,Specialty Fats
9208,400000821,,,1030.63,Specialty Fats
9208,400000822,,,999.38,Specialty Fats
9208,400000827,,,1019.66,Specialty Fats
9208,400000753,,,1317.83,Specialty Fats
9208,400000860,,,961.71,Specialty Fats
9407DD,400000348,,,0,Specialty Fats
9407DD,400000349,,,0,Specialty Fats
9407DD,400000350,,,0,Specialty Fats
9407DD,400000352,,,0,Specialty Fats
9407DD,400000353,,,0,Specialty Fats
9407DD,400000354,,,0,Specialty Fats
9407DD,400000355,,,0,Specialty Fats
9407DD,400000427,,,0,Specialty Fats
9407DD,400000598,,,0,Specialty Fats
9407DD,400000621,,,0,Specialty Fats
9407DD,400000631,,,0,Specialty Fats
9407DD,400000656,,,0,Specialty Fats
9407DD,400000682,,,0,Specialty Fats
9407DD,400000699,,,0,Specialty Fats
9407DD,400000719,,,0,Specialty Fats
9407DD,400000747,,,0,Specialty Fats
9407DD,400000748,,,0,Specialty Fats
9407DD,400000774,,,0,Specialty Fats
9407DD,400000753,,,0,Specialty Fats
9407DD,400000754,,,0,Specialty Fats
9407D,400000348,,,0,Specialty Fats
9407D,400000349,,,0,Specialty Fats
9407D,400000350,,,0,Specialty Fats
9407D,400000352,,,0,Specialty Fats
9407D,400000353,,,0,Specialty Fats
9407D,400000354,,,0,Specialty Fats
9407D,400000355,,,0,Specialty Fats
9407D,400000427,,,0,Specialty Fats
9407D,400000598,,,0,Specialty Fats
9407D,400000621,,,0,Specialty Fats
9407D,400000631,,,0,Specialty Fats
9407D,400000656,,,0,Specialty Fats
9407D,400000682,,,0,Specialty Fats
9407D,400000699,,,0,Specialty Fats
9407D,400000719,,,0,Specialty Fats
9407D,400000747,,,0,Specialty Fats
9407D,400000748,,,0,Specialty Fats
9407D,400000774,,,0,Specialty Fats
9407D,400000753,,,0,Specialty Fats
9407D,400000754,,,0,Specialty Fats
9213,400000347,,,862.41,Specialty Fats
9213,400000348,,,902.76,Specialty Fats
