Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD
,FG0480,Supreme Mixture |90 Gms.,Category D (Mixture Packs - Namkeen),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0481,Ghee Patisa |300 Gms.,Category I (PACKED SWEETS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0482,LADDU ELAICHI BOONDI 500g |500 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0483,PJ Sewai |120 Gms.,Category H (PICKLES  PAPAD  PASTA & SEWAI PACKS),PASTA & SEWAI,,0,Y,N,,Pcs.,Case,,,,,0
,FG0484,PJ Tok Jhal Misti |400 Gms.,Category D (Mixture Packs - Namkeen),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0485,Pj Rosogolla |4000 Gms.,Category I (PACKED SWEETS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0486,Pj Gulab Jamun |4000 Gms.,Category I (PACKED SWEETS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0487,Moti Pak Spsl Box |350 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0488,Combo PJ( Soan Papdi(Elaichi)500g+Besan Laddu(6 Pcs Box) |668 Gms.,Category K (SPECIAL OFFER PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0489,Pj Soya Stick |50 Gms.,Category 2 (Moving Packs - Rs.10/- Items),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0504,Soan Papdi( Premium) Box |0 Gms.,Category J (SENSOTIONAL),(HAPPY MOMENT BRAND),,0,Y,N,,Pcs.,Case,,,,,0
,FG0494,Ghee Laddu |1000 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,N,Y,,Pcs.,Case,,,,,0
,FG0493,Laddu Elaichi Boondi |500 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0492,Nimbu Shikanji |700 Gms.,Category J (SENSOTIONAL),SYRUPS,,0,Y,N,,Pcs.,Case,,,,,0
,FG0495,Ghee Laddu |500 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,N,Y,,Pcs.,Case,,,,,0
,FG0496,PJ LACHHA (MITHA)Pouch |200 Gms.,(LACHHA PACKS),PRABHUJI BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0497,Kaju Barfi  |500 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0498,Kaju Barfi  |250 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0499,Modak(Kaju) 11 Pcs Box |0 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0500,Modak(Badam) 11 Pcs Box |0 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0501,Modak(Milk) 11 Pcs Box |0 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0502,Modak(Kesar) 11 Pcs Box |0 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0503,Modak(Chocolate) 11 Pcs Box |0 Gms.,Category L (FRESH PACKS),(FRESH SWEETS),,0,Y,N,,Pcs.,Case,,,,,0
,FG0515,LACHHA MILK (MITHA) Chhatri |500 Gms.,(LACHHA PACKS),HALDIRAM BRAND,,0,Y,N,,Pcs.,Case,,,,,0
,FG0505,Cheep's (Tangy Tomato) |13 Gms.,Category 1 (Fast Moving Packs - RS.5/- Items),CHEEPS,,0,Y,N,,Pcs.,Case,,,,,0
