Branch code/name,Prod_Code,prod_desc,brand_code (fk)/brand_name,brand_form_code (fk)/brand_form_name,brand_sub_form_code(fk)/brand_sub_form_name,cl_stk,acends,black_list,vertical_value,UOM1,UOM2,Conversion,Pack size,UOM3,Conversion2,TD,Formulation,Pack Type
9118,400000273,Sunflower 15 kg Tin,Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.48,BP,MT,1098.9,10,no,TIN
9118,400000275,Sunflower 15 ltr Tin,Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,TIN
9118,400000397,Soyabean 15 ltr Jar,Soyabean,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,JAR
9118,400000396,Palm  15 ltr Jar,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1111.11,10,no,JAR
9118,400000430,Blend 15 ltr Tin,Blend,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,0,no,TIN
9118,400000356,Bake Magic,Bake Magic,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,10,no,Bakery
1000D,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9110,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9111,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9106,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9103,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9118,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9108,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9306,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9105,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9114,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9117,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
9112,400000521,Rasoi No-1 15 ltr Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,JAR
1000D,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9110,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9117,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9112,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9106,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9111,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9103,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9118,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9108,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9306,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9308,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9105,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9114,400000523,Rasoi No 1 15 kg Jar,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
1000D,400000481,Soyabean LUP Rs 5/- (50ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
1000D,400000480,Soyabean LUP Rs 10/- (100ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,
1000D,400000530,Soyabean LUP Rs 10/- (90ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
9110,400000481,Soyabean LUP Rs 5/- (50ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
9110,400000480,Soyabean LUP Rs 10/- (100ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,
9117,400000481,Soyabean LUP Rs 5/- (50ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10.8,CP,MT,1098.9,5,no,
9117,400000480,Soyabean LUP Rs 10/- (100ml),Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,
9117,400000487,Palm LUP Rs 5/- (50ml),Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1111.11,5,no,
9117,400000502,Palm LUP Rs 10/- (100ml),Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1111.11,5,no,
9108,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9306,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9306KP,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9308,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9308KP,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9412,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9101,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9120,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9110,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9201,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9207,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9203,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9111,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9208,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9112,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9117,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9105,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9105KP,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9103,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9407DD,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
1000D,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
4000D,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9114,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9114KP,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9407D,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9213,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9205,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9106,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9407B,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9118,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9113,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9407A,400000524,Sunflower 1 ltr Pouch (12pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9412,400000126,Mustard 1 ltr Pouch,Mustard,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,0,no,Pouch
9412,400000128,Palm 500 ml Pouch,Palm,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,10,CP,MT,1111.11,5,no,Pouch
9412,400000139,Sunflower 1 ltr Pouch (10pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10,CP,MT,1098.9,5,no,Pouch
9412,400000140,Soyabean 1 ltr Pouch,Soyabean,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9412,400000141,Palm 1 ltr Pouch (10pc),Palm,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,10,CP,MT,1111.11,5,no,Pouch
9412,400000151,Palm 15 kg Tin,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.67,BP,MT,1111.11,10,no,TIN
9412,400000152,Palm 15 ltr Tin,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1111.11,10,no,TIN
9412,400000153,Soyabean 15 ltr Tin,Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,TIN
9412,400000154,Soyabean 15 kg Tin,Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.48,BP,MT,1098.9,10,no,TIN
9412,400000159,Mustard 500 ml Bottle,Mustard,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,0,no,Pet
9412,400000170,Soyabean 500 ml Pouch,Soyabean,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pouch
9412,400000173,Mustard 500 ml Pouch,Mustard,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,0,no,Pouch
9412,400000252,Mustard 1 ltr Bottle,Mustard,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,0,no,Pet
9412,400000254,Mustard 200 ml Bottle,Mustard,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,0,no,Pet
9412,400000255,Soyabean 5 ltr Jar,Soyabean,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,20,CP,MT,1098.9,5,no,JAR
9412,400000256,Soyabean 1 ltr Bottle,Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pet
9412,400000257,Soyabean 500 ml Bottle,Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,12,CP,MT,1098.9,5,no,Pet
9412,400000259,Sunflower 500 ml Pouch,Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10,CP,MT,1098.9,5,no,Pouch
9412,400000260,Sunflower 1 ltr Pouch (16pc),Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16,CP,MT,1098.9,5,no,Pouch
9412,400000273,Sunflower 15 kg Tin,Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.48,BP,MT,1098.9,10,no,TIN
9412,400000275,Sunflower 15 ltr Tin,Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,TIN
9412,400000360,Sun n Lite 15 ltr Tin,Sunflower,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,TIN
9412,400000362,Gold n Lite 15 kg Tin,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.67,BP,MT,1111.11,10,no,TIN
9412,400000370,Gold n Lite 15 ltr Tin,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1111.11,10,no,TIN
9412,400000373,Rasoi 15 ltr Tin,Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1114.21,0,no,TIN
9412,400000377,Gold n Lite 15 ltr Jar,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1111.11,10,no,JAR
9412,400000378,Soyalite 15 ltr Jar,Soyabean,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,JAR
9412,400000387,Gold n Lite 500 ml Pouch,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,10,CP,MT,1111.11,5,no,Pouch
9412,400000397,Soyabean 15 ltr Jar,Soyabean,,,0,Y,N,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1098.9,10,no,JAR
9412,400000396,Palm  15 ltr Jar,Palm,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,15,BP,MT,1111.11,10,no,JAR
9412,400000441,Rasoi 15 kg Jar (Blue),Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9412,400000449,Rasoi 15 kg Jar (Gold),Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16.71,BP,MT,1114.21,0,no,JAR
9412,400000454,Rasoi 1 ltr Pouch (Yellow),Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16,CP,MT,1114.21,0,no,Pouch
9412,400000455,Rasoi 1 ltr Pouch (Siliguri),Vanaspati,,,0,N,Y,HBC:Rasoi:BIB,Case,Ltr,16,CP,MT,1114.21,0,no,Pouch
