Location,Prod_Code,mrp_code,mrp,sale_rate,vertical_value
9207,400000412,,,0,Specialty Fats
9207,400000411,,,0,Specialty Fats
9207,400000427,,,0,Specialty Fats
9207,400000413,,,0,Specialty Fats
9207,400000414,,,0,Specialty Fats
9207,400000545,,,0,Specialty Fats
9207,400000528,,,0,Specialty Fats
9207,400000347,,,0,Specialty Fats
9207,400000348,,,951.57,Specialty Fats
9207,400000349,,,1163.3,Specialty Fats
9207,400000350,,,1094.96,Specialty Fats
9207,400000352,,,1040.5,Specialty Fats
9207,400000353,,,1060.06,Specialty Fats
9207,400000354,,,1059.58,Specialty Fats
9207,400000355,,,1059.58,Specialty Fats
9207,400000389,,,0,Specialty Fats
9207,400000428,,,0,Specialty Fats
9207,400000412,,,0,Specialty Fats
9207,400000411,,,0,Specialty Fats
9207,400000427,,,1151.96,Specialty Fats
9207,400000413,,,0,Specialty Fats
9207,400000414,,,0,Specialty Fats
9207,400000528,,,1106.28,Specialty Fats
9207,400000545,,,0,Specialty Fats
9207,400000598,,,1090.94,Specialty Fats
9207,400000621,,,1063.53,Specialty Fats
9207,400000631,,,1060.06,Specialty Fats
9207,400000655,,,0,Specialty Fats
9207,400000658,,,0,Specialty Fats
9207,400000656,,,1123.33,Specialty Fats
9207,400000682,,,956.82,Specialty Fats
9207,400000700,,,0,Specialty Fats
9207,400000699,,,1046.6,Specialty Fats
9207,400000719,,,1003.46,Specialty Fats
9207,400000747,,,1193.57,Specialty Fats
9207,400000748,,,1230.96,Specialty Fats
9207,400000774,,,1124.41,Specialty Fats
9207,400000753,,,1432.15,Specialty Fats
9207,400000754,,,1395.36,Specialty Fats
9207,400000756,,,1453.14,Specialty Fats
9207,400000757,,,0,Specialty Fats
9207,400000758,,,0,Specialty Fats
9207,400000778,,,1155.6,Specialty Fats
9207,400000783,,,0,Specialty Fats
9207,400000787,,,1102.04,Specialty Fats
9207,400000810,,,1587.35,Specialty Fats
9207,400000821,,,1220.19,Specialty Fats
9207,400000822,,,1225.64,Specialty Fats
9207,400000827,,,1107.99,Specialty Fats
9207,400000860,,,0,Specialty Fats
9203,400000347,,,0,Specialty Fats
9203,400000348,,,0,Specialty Fats
9203,400000349,,,0,Specialty Fats
9203,400000350,,,0,Specialty Fats
9203,400000352,,,0,Specialty Fats
9203,400000353,,,0,Specialty Fats
9203,400000354,,,0,Specialty Fats
9203,400000355,,,0,Specialty Fats
9203,400000389,,,0,Specialty Fats
9203,400000390,,,0,Specialty Fats
9203,400000428,,,0,Specialty Fats
9203,400000412,,,0,Specialty Fats
9203,400000411,,,0,Specialty Fats
9203,400000427,,,0,Specialty Fats
9203,400000413,,,0,Specialty Fats
9203,400000414,,,0,Specialty Fats
9203,400000545,,,0,Specialty Fats
9203,400000528,,,0,Specialty Fats
9203,400000347,,,0,Specialty Fats
9203,400000348,,,935.51,Specialty Fats
9203,400000349,,,1147.23,Specialty Fats
9203,400000350,,,1078.9,Specialty Fats
9203,400000352,,,1024.44,Specialty Fats
9203,400000353,,,1043.99,Specialty Fats
9203,400000354,,,1043.51,Specialty Fats
9203,400000355,,,1043.51,Specialty Fats
9203,400000389,,,0,Specialty Fats
9203,400000428,,,0,Specialty Fats
9203,400000412,,,0,Specialty Fats
9203,400000411,,,0,Specialty Fats
9203,400000427,,,1135.89,Specialty Fats
9203,400000413,,,0,Specialty Fats
9203,400000414,,,0,Specialty Fats
9203,400000528,,,1090.22,Specialty Fats
9203,400000545,,,0,Specialty Fats
9203,400000598,,,1074.88,Specialty Fats
9203,400000621,,,1047.46,Specialty Fats
9203,400000631,,,1043.99,Specialty Fats
9203,400000655,,,0,Specialty Fats
9203,400000658,,,0,Specialty Fats
9203,400000656,,,1107.26,Specialty Fats
9203,400000682,,,940.76,Specialty Fats
9203,400000700,,,0,Specialty Fats
9203,400000699,,,1030.53,Specialty Fats
9203,400000719,,,987.39,Specialty Fats
9203,400000747,,,1177.51,Specialty Fats
9203,400000748,,,1214.9,Specialty Fats
