Customer Code,Product Desc,April,April Achv.,April prev year,April prev year Achv.,May,May Achv.,May prev year,May prev year Achv.,June,June Achv.,June prev year,June prev year Achv.,July,July Achv.,July prev year,July prev year Achv.,August,August Achv.,August prev year,August prev year Achv.,September,September Achv.,September prev year,September prev year Achv.,October,October Achv new,October  prev year,October prev year Achv.,November,November Achv.,November  prev year,November prev year Achv.,December,December Achv.,December  prev year,December prev year Achv.,January,January Achv.,January  prev year,January prev year Achv.,February,February Achv.,February  prev year,February prev year Achv.,March,March Achv.,March prev year,March prev year Achv.
WBR092,F000000001,200,84,0,0,220,80,0,0,130,110,0,0,100,76,0,0,100,76,0,0,130,46,0,0,150,111,0,0,190,0,0,0,190,0,0,0,220,0,0,0,220,0,0,0,300,0,0,0
B191,F000000001,50,63,137.45,137,60,29,150,161,50,10,150,84,30,10,100,53.35,40,0,100,15,50,0,150,37,50,0,150,18,50,0,150,89,50,0,275,42,50,0,300,18,50,0,350,10,60,0,400,40
L064,F000000001,50,0,222,222,60,0,150,163,30,0,200,60,30,0,120,85.2,30,0,120,45,30,0,150,91.85,30,53,200,98,40,0,270,64,40,0,375,0,50,0,400,0,60,0,450,0,60,0,480,0
K147,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
U018,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A168,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A169,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
M328,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
L082,F000000001,50,0,78,78,70,0,100,142,30,0,120,20,20,0,80,15,20,0,80,0,30,10,100,36,40,0,120,0,40,0,140,0,40,0,280,0,60,0,300,0,70,0,300,0,70,0,350,0
K192,F000000001,50,0,62,62,60,0,100,133,20,0,80,20,20,0,30,0,20,0,30,10,30,0,100,5,50,0,80,0,50,0,80,15,50,0,100,0,60,0,150,0,80,0,150,0,80,0,180,0
WBM061,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S569,F000000001,0,0,112,112,0,0,120,150,0,0,120,16,0,0,80,16,0,0,80,0,0,0,120,16,0,0,120,10,0,0,120,0,0,0,140,0,0,0,200,0,0,0,200,0,0,0,220,0
B236,F000000001,50,0,20,20,50,10,50,55,40,0,80,52,20,0,50,20,30,0,50,0,30,0,50,32,50,0,80,0,50,0,100,0,50,0,140,0,60,0,200,0,80,0,200,0,80,0,220,10
WBA015,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBA014,F000000001,40,0,39,39,50,0,10,10,40,40,0,10,20,0,0,0,30,11,0,0,30,2,10,16,40,0,0,0,50,0,0,7,50,0,0,0,60,0,0,0,80,0,0,0,80,0,0,0
WBL005,F000000001,60,10,55,55,70,16,70,82.95,40,78,80,16,30,4,50,8,30,21,50,25,30,7.5,70,36,50,22,80,36,70,0,80,49,70,0,100,40,80,0,100,45,90,0,100,0,90,0,100,55
WBT037,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBN051,F000000001,100,32,135,135,100,37,150,189,40,41.7,100,32,40,53,100,20,40,54,100,30,40,52,150,41,60,48,100,47,70,0,200,35,70,0,250,70,80,0,300,64,90,0,300,32,90,0,300,120
WBP026,F000000001,100,46,48,48,100,0,40,46,40,38,50,41,40,16,50,25,40,25,50,20,50,25,40,16,70,0,50,47,80,0,100,64,80,0,120,51,90,0,150,67,100,0,150,37,100,0,150,69.5
WBM091,F000000001,0,0,47,47,0,0,20,20,0,0,50,0,0,0,30,0,0,0,30,0,0,0,20,0,0,0,50,0,0,0,80,0,0,0,100,0,0,0,150,0,0,0,150,0,0,0,150,0
WBK032,F000000001,60,32,20,20,60,37,16,16,30,32,40,16,30,32,30,10,30,32,30,42,30,57.5,16,16,50,64,40,16,60,0,60,26,60,0,80,42,70,0,100,29,80,0,100,16,80,0,100,37
WBR053,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBJ033,F000000001,0,0,0,0,0,0,10,10,0,0,40,0,0,0,20,8,0,5,20,0,0,23.5,10,0,0,26,40,0,0,0,40,0,0,0,40,0,0,0,50,0,0,0,50,0,0,0,50,0
WBP043,F000000001,50,32,20,20,50,0,12,12,30,16,40,20,20,15,20,0,30,0,20,0,30,25.5,12,10,50,0,40,14,50,0,40,15,50,0,40,0,60,0,50,23.5,70,0,50,4,70,0,50,0
WBM154,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBR075,F000000001,50,59,16,16,60,32,150,159,30,18,130,16,30,10,100,0,30,0,100,0,30,5,100,0,50,0,130,16,60,0,100,16,60,0,100,32,60,0,110,37,70,0,100,41,70,0,100,90
WBR081,F000000001,0,0,48,48,0,0,65,68,0,0,100,16,0,20,60,0,0,32,60,0,0,0,65,0,0,15,100,0,0,0,80,0,0,0,100,0,0,0,100,0,0,0,110,0,0,0,108,0
WBL026,F000000001,50,51,48,48,50,32,10,10,30,32,40,52,30,21,30,0,20,41,30,15,30,43,10,12,60,32,40,32,60,0,60,30,60,0,100,31,60,0,100,10.5,70,0,100,14,70,0,100,10
WBN077,F000000001,50,39,72,72,50,26,124,124,30,0,100,58,20,0,100,42,30,0,100,0,30,0,124,56,50,0,100,41,50,0,100,74,50,0,120,62,60,0,150,48,70,0,150,16,70,0,150,21
WBT048,F000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBM208,F000000001,110,37,27,27,110,32,55,55,40,71,60,51,30,37,50,0,30,36.5,50,16.35,60,60.5,55,5,60,60,60,44,70,0,40,45,70,0,60,50,80,0,60,46.5,90,0,60,27,90,0,60,121.5
WBG064,F000000001,50,0,16,16,50,0,10,10,30,0,20,17,30,0,20,0,30,0,20,0,30,0,10,5,30,0,20,0,30,0,30,0,30,0,60,0,40,0,60,0,50,0,60,5,50,0,60,0
WBS196,F000000001,50,16,30,30,50,32,32,32,40,36.5,40,21,30,42,40,19.5,30,42,40,0,40,54.5,32,16,60,43,40,36,60,0,40,21,60,0,60,12,70,0,60,30,80,0,60,16,80,0,60,30
WBB094,F000000001,100,32,0,0,100,89,56,56,40,33,60,60,30,48,40,39,30,49.5,40,16,40,54.5,56,65,50,53,60,39,60,0,40,51,60,0,60,43,90,0,60,67.5,100,0,60,43.5,100,0,60,124
WBM220,F000000001,40,16,0,0,50,58,0,0,30,37,0,0,30,22,0,0,30,32,0,0,30,37,0,0,50,37,0,0,50,0,0,0,50,0,0,37,60,0,0,32,60,0,0,32,60,0,0,41
WBM221,F000000001,40,14,0,0,50,34,0,0,40,26,0,0,30,0,0,0,30,27,0,0,30,9.9,0,0,50,38,0,0,50,0,0,0,50,0,0,0,60,0,0,21,60,0,0,26,50,0,0,32
S370,F000000001,50,32,52,52,101,41.35,53,53,50,21,60,0,50,5.9,51,21,50,9,41,0,50,37,51,37,21,0,60,58,50,0,80,122,101,0,101,21,101,0,101,0,151,0,71,25,201,0,121,10
B164,F000000001,200,101.5,188,188,221,104.45,100,100,100,118,101,104.5,101,75,101,92,151,76,138,21,151,75,130,101,201,45.5,185,78,101,0,165,45.9,201,0,181,119.35,201,0,175,105,251,0,172,55.6,201,0,176,182
B260,F000000001,107,105,48,48,211,28,88,88,50,125.35,51,20,101,109,40,40,151,46,40,19.7,101,120.5,51,32,201,37,60,66,151,0,50,105,151,0,70,79,151,0,70,96,201,0,80,50.5,201,0,80,107
WBA022,F000000001,100,20,104,104,151,21,52,52,100,26,60,0,101,0,40,31,121,0,30,10,50,16,30,31,151,0,60,10,151,0,70,32,151,0,80,63,151,0,90,67,201,0,90,0,201,0,101,37
N151,F000000001,132,105.1,101,101,151,107,102,102,51,36,101,95,101,36,101,74,121,48,101,29,121,48,101,105,151,32,101,53,151,0,101,53,151,0,101,69,151,0,101,53,151,0,101,79,201,0,101,132
